Product Name,Price,Rating
Lenovo Core i5 7th Gen 7200U - (8 GB/1 TB HDD/DOS/2 GB Graphics) IP 320-15IKB Laptop,"₹45,000",4.2
Lenovo Ideapad Core i5 7th Gen 7200U - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320-15IKB Lapt...,"₹49,000",4.2
APPLE MacBook Air Core i5 5th Gen - (8 GB/256 GB SSD/Mac OS Sierra) MQD42HN/A,"₹75,990",4.6
APPLE MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A,"₹68,490",4.7
DELL Inspiron 7000 Core i7 7th Gen 7500U - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 75...,"₹76,921",4.3
Lenovo Core i5 7th Gen 7200U - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,"₹63,362",4.4
DELL Inspiron 15 3000 APU Dual Core A9 A9-9400 - (6 GB/1 TB HDD/Windows 10 Home) 3565 Laptop,"₹31,048",3.8
HP Core i5 7th Gen 7200U - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 15-au623tx Laptop,"₹63,854",4.4
DELL Inspiron 7000 Core i5 7th Gen 7200U - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 7460 Laptop,"₹63,990",4.3
HP 15 Core i5 7th Gen 7200U - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15q-BU012TX Laptop,"₹50,790",4.1
Lenovo Yoga 510 Core i3 6th Gen 6006U - (4 GB/1 TB HDD/Windows 10 Home) Yoga 510 2 in 1 Laptop,"₹42,500",4.1
DELL Insprion Core i7 7th Gen 7500u - (8 GB/1 TB HDD/Windows 10/2 GB Graphics) 3567 Laptop,"₹61,658",4
Lenovo APU Dual Core A9 6th Gen A9-9410 - (4 GB/1 TB HDD/Windows 10 Home) Yoga 510 2 in 1 Laptop,"₹40,761",3.9
Lenovo Core i7 6th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) Ideapad 310 Laptop,"₹54,500",3.9
DELL Vostro 3000 Core i5 7th Gen - (8 GB/1 TB HDD/Ubuntu/2 GB Graphics) 3568 Laptop,"₹42,999",4.3
Lenovo Core i3 6th Gen 6006U - (4 GB/1 TB HDD/Windows 10 Home) IP 320E Laptop,"₹30,990",4
HP 15 Core i3 6th Gen 6006U - (4 GB/1 TB HDD/Windows 10 Home) 15-be014TU Laptop,"₹33,956",4.1
HP 15 Core i3 6th Gen 6006U - (4 GB/1 TB HDD/DOS) 15Q-BU007TU Laptop,"₹30,000",4.2
DELL Inspiron 3000 Core i3 6th Gen 6006U - (4 GB/1 TB HDD/Windows 10 Home) 3467 Laptop,"₹31,990",3.8
HP Imprint Core i5 7th Gen 7200U - (8 GB/1 TB HDD/DOS/2 GB Graphics) 15q-BU011TX Laptop,"₹42,990",4.2
Lenovo Ideapad Core i3 6th Gen 6006U - (4 GB/1 TB HDD/DOS) IP 320E Laptop,"₹26,990",4.1
HP 15 Core i3 6th Gen 6006U - (8 GB/1 TB HDD/DOS) 15Q-BU006TU Laptop,"₹33,996",4.2
DELL Inspiron Core i3 6th Gen 6006U - (4 GB/1 TB HDD/Linux) 3467 Laptop,"₹28,543",4.2
HP APU Quad Core A8 A8-7410 - (4 GB/1 TB HDD/Windows 10 Home) 15-BG004AU Laptop,"₹26,825",4
